index,station,lines,url
1,Aldgate,OM,https://www.google.com/maps?q=Aldgate+Underground+station
13,Barking,DH,https://www.google.com/maps?q=Barking+Underground+station
41,Chalfont & Latimer,M,https://www.google.com/maps?q=Chalfont+&+Latimer+Underground+station
50,Clapham South,N,https://www.google.com/maps?q=Clapham+South+Underground+station
71,Elephant & Castle,BN,https://www.google.com/maps?q=Elephant+&+Castle+Underground+station
93,Hainault,C,https://www.google.com/maps?q=Hainault+Underground+station
94,Hammersmith,DP,https://www.google.com/maps?q=Hammersmith+Underground+station
95,Hammersmith,OH,https://www.google.com/maps?q=Hammersmith+Underground+station
99,Harrow & Wealdstone,B,https://www.google.com/maps?q=Harrow+&+Wealdstone+Underground+station
100,Harrow-on-the-Hill,M,https://www.google.com/maps?q=Harrow-on-the-Hill+Underground+station
102,Heathrow Terminals 2 & 3,P,https://www.google.com/maps?q=Heathrow+Terminals+2+&+3+Underground+station
104,Heathrow Terminal 5,P,https://www.google.com/maps?q=Heathrow+Terminal+5+Underground+station
107,Highbury & Islington,V,https://www.google.com/maps?q=Highbury+&+Islington+Underground+station
109,High Street Kensington,OD,https://www.google.com/maps?q=High+Street+Kensington+Underground+station
116,Hounslow East,P,https://www.google.com/maps?q=Hounslow+East+Underground+station
117,Hounslow West,P,https://www.google.com/maps?q=Hounslow+West+Underground+station
122,Kensington (Olympia),D,https://www.google.com/maps?q=Kensington+(Olympia)+Underground+station
126,Kilburn,J,https://www.google.com/maps?q=Kilburn+Underground+station
139,Liverpool Street,COHM,https://www.google.com/maps?q=Liverpool+Street+Underground+station
140,London Bridge,JN,https://www.google.com/maps?q=London+Bridge+Underground+station
157,North Acton,C,https://www.google.com/maps?q=North+Acton+Underground+station
183,Putney Bridge,D,https://www.google.com/maps?q=Putney+Bridge+Underground+station
202,Seven Sisters,V,https://www.google.com/maps?q=Seven+Sisters+Underground+station
203,Shepherd's Bush,C,https://www.google.com/maps?q=Shepherd's+Bush+Underground+station
232,Totteridge & Whetstone,N,https://www.google.com/maps?q=Totteridge+&+Whetstone+Underground+station
237,Upminster,D,https://www.google.com/maps?q=Upminster+Underground+station
243,Victoria,ODV,https://www.google.com/maps?q=Victoria+Underground+station
259,West Ruislip,C,https://www.google.com/maps?q=West+Ruislip+Underground+station
260,Westbourne Park,OH,https://www.google.com/maps?q=Westbourne+Park+Underground+station
267,Wimbledon Park,D,https://www.google.com/maps?q=Wimbledon+Park+Underground+station
