index,station,lines,url
1,Aldgate,OM,"https://www.google.com/maps/place/Aldgate/@51.5147621,-0.0765268,17z/data=!4m6!3m5!1s0x4876034b5ac01ec7:0x57b7f600da13b153!8m2!3d51.5141643!4d-0.0755189!16s%2Fg%2F12vtqkysc?entry=ttu"
13,Barking,DH,"https://www.google.com/maps/place/Barking/@51.5395945,0.0797863,16.75z/data=!4m6!3m5!1s0x47d8a66d964f8117:0xacb1d014a266ff13!8m2!3d51.5395507!4d0.0809453!16zL20vMDJuemN0?entry=ttu"
41,Chalfont & Latimer,M,"https://www.google.com/maps/place/Chalfont+%26+Latimer/@51.6684285,-0.5625364,18z/data=!4m15!1m8!3m7!1s0x487668a01215f1d7:0x50eae2da2ec6b40!2sChalfont+St+Peter!3b1!8m2!3d51.6123242!4d-0.5561674!16zL20vMDIyaDF5!3m5!1s0x4876680ef66430dd:0x95e7bdb6830b8bd5!8m2!3d51.6680434!4d-0.5605659!16s%2Fg%2F1wt3mxg1!5m1!1e2?entry=ttu"
50,Clapham South,N,"https://www.google.com/maps/place/Clapham+South/@51.4528165,-0.1503765,17z/data=!4m6!3m5!1s0x487605b610db3829:0xeb3b57ac25d17020!8m2!3d51.4527765!4d-0.1478127!16s%2Fg%2F1ptzj8b4h?entry=ttu"
71,Elephant & Castle,BN,"https://www.google.com/maps/place/Elephant+%26+Castle/@51.4938994,-0.0999464,16.96z/data=!4m6!3m5!1s0x487604a23a68d223:0xbb6ea997deb7559b!8m2!3d51.4946011!4d-0.100329!16zL20vMDF6bXo2?entry=ttu"
93,Hainault,C,"https://www.google.com/maps/place/Hainault/@51.6038377,0.088653,17z/data=!4m6!3m5!1s0x47d8a155e6096939:0xb8c5a579f7d026f!8m2!3d51.6038377!4d0.0931594!16s%2Fg%2F12qgc_yjd?entry=ttu"
94,Hammersmith,DP,"https://www.google.com/maps/place/Hammersmith+(District+%26+Piccadilly)/@51.4922669,-0.2242584,19.25z/data=!4m6!3m5!1s0x48760fb79b40cc1f:0x2b3ca8576f2148ce!8m2!3d51.4922078!4d-0.2236854!16zL20vMDc0a3hx!5m1!1e2?entry=ttu"
95,Hammersmith,OH,"https://www.google.com/maps/place/Hammersmith/@51.4935399,-0.2258861,18.5z/data=!4m6!3m5!1s0x48760fb7def9c8bb:0xfb388ad277a5d7d4!8m2!3d51.4934334!4d-0.225012!16s%2Fg%2F1hjgrnwff?entry=ttu"
99,Harrow & Wealdstone,B,"https://www.google.com/maps/place/Harrow+%26+Wealdstone/@51.5916128,-0.3335098,17.25z/data=!4m6!3m5!1s0x4876137941a06ff5:0xbb4f91708f98e221!8m2!3d51.5917236!4d-0.3343587!16s%2Fg%2F11bc57yy4_?entry=ttu"
100,Harrow-on-the-Hill,M,"https://www.google.com/maps/place/Harrow-on-the-Hill+(HOH)/@51.5792916,-0.33969,17z/data=!4m6!3m5!1s0x487613736916398f:0x88e0d7845d482f8f!8m2!3d51.5793932!4d-0.3370302!16zL20vMDRnbjJu?entry=ttu"
102,Heathrow Terminals 2 & 3,P,"https://www.google.com/maps/place/Heathrow+Terminals+2+%26+3/@51.4705582,-0.4526243,17z/data=!4m6!3m5!1s0x487673cb44cf859f:0x5c3dc023a7f95902!8m2!3d51.4712872!4d-0.4522179!16s%2Fg%2F1vk6yqjk?entry=ttu"
104,Heathrow Terminal 5,P,"https://www.google.com/maps/place/Heathrow+Terminal+5/@51.4712534,-0.4923105,17z/data=!4m6!3m5!1s0x48767175ba8c845b:0xe983bc1ac0d4eefb!8m2!3d51.4723541!4d-0.4890445!16s%2Fg%2F113h7kcr2?entry=ttu"
107,Highbury & Islington,V,"https://www.google.com/maps/place/Highbury+%26+Islington/@51.5463405,-0.1049604,18z/data=!4m6!3m5!1s0x48761b653388bf1d:0x1d5cf24795d37f00!8m2!3d51.5459924!4d-0.1045902!16s%2Fg%2F11b6yx29m_?entry=ttu"
109,High Street Kensington,OD,"https://www.google.com/maps/place/High+Street+Kensington/@51.5008862,-0.1952216,17z/data=!4m6!3m5!1s0x48760ff6db531d81:0x64118972b0311da3!8m2!3d51.5008834!4d-0.1926463!16zL20vMDIwcmtw?entry=ttu"
116,Hounslow East,P,"https://www.google.com/maps/place/Hounslow+East/@51.4733353,-0.3591183,17z/data=!4m6!3m5!1s0x48760d209048746b:0x620358766b0aaae1!8m2!3d51.4730837!4d-0.3563475!16s%2Fg%2F1ptw8skm9?entry=ttu"
117,Hounslow West,P,"https://www.google.com/maps/place/Hounslow+West+Underground+Station/@51.4731518,-0.3877448,18z/data=!4m6!3m5!1s0x487672d7c1cbb2f9:0xe800912ac469ba62!8m2!3d51.4730997!4d-0.3857222!16s%2Fg%2F1pv2qpgw8?entry=ttu"
122,Kensington (Olympia),D,"https://www.google.com/maps/place/Kensington/@51.49805,-0.2111193,18z/data=!4m6!3m5!1s0x48760fea135f01e1:0xfda97938feb0aa15!8m2!3d51.497986!4d-0.209963!16zL20vMDJ0OWZy!5m1!1e2?entry=ttu"
126,Kilburn,J,"https://www.google.com/maps/place/Kilburn/@51.5460711,-0.2061132,16.75z/data=!4m6!3m5!1s0x48761065f2ed1603:0x311ae3adc2833627!8m2!3d51.5469276!4d-0.2042087!16zL20vMDIwYmxs?entry=ttu"
139,Liverpool Street,COHM,"https://www.google.com/maps/place/Liverpool+Street/@51.518041,-0.0854194,16.5z/data=!4m6!3m5!1s0x48761cad76e85827:0x7b1031fcfac0b18f!8m2!3d51.5174331!4d-0.0829667!16s%2Fg%2F1tf70f1p?entry=ttu"
140,London Bridge,JN,"https://www.google.com/maps/place/London+Bridge/@51.505176,-0.0916788,16.25z/data=!4m6!3m5!1s0x4876035747ecc86f:0x949a2d8ba1bca2df!8m2!3d51.5058624!4d-0.0869692!16s%2Fg%2F1ptxs65xf?entry=ttu"
157,North Acton,C,"https://www.google.com/maps/place/North+Acton/@51.5227056,-0.2614776,17z/data=!4m6!3m5!1s0x487611e791b29817:0x5a281d3361c11c09!8m2!3d51.5234587!4d-0.2597233!16s%2Fg%2F1pty8mqcq?entry=ttu"
183,Putney Bridge,D,"https://www.google.com/maps/place/Putney+Bridge/@51.4678669,-0.2122997,17z/data=!4m6!3m5!1s0x48760f7484e83c75:0x8f8edddba3c608e5!8m2!3d51.4679691!4d-0.2089232!16s%2Fg%2F12vrlr6pn?entry=ttu"
202,Seven Sisters,V,"https://www.google.com/maps/place/Seven+Sisters/@51.5828598,-0.0762849,17z/data=!4m6!3m5!1s0x48761c15d89be221:0x7ce2d9c183761e9e!8m2!3d51.5834153!4d-0.0724366!16s%2Fg%2F1_lx99vk?entry=ttu"
203,Shepherd's Bush,C,"https://www.google.com/maps/place/Shepherd's+Bush/@51.5047772,-0.2212163,17z/data=!4m6!3m5!1s0x48760fdb4aeac721:0x4144b17902219e7d!8m2!3d51.5047772!4d-0.2186414!16zL20vMDRxdzlu?entry=ttu"
232,Totteridge & Whetstone,N,"https://www.google.com/maps/place/Totteridge+%26+Whetstone/@51.6296518,-0.185233,17z/data=!4m6!3m5!1s0x487619da84abf8d9:0xa40992c2aec56298!8m2!3d51.630241!4d-0.179144!16zL20vMDQ5azFw?entry=ttu"
237,Upminster,D,"https://www.google.com/maps/place/Upminster/@51.5590545,0.2502447,17.5z/data=!4m6!3m5!1s0x47d8bbb30f7ea6a3:0x8916ea91832483ae!8m2!3d51.5589642!4d0.2506216!16zL20vMDJ5ZGRy?entry=ttu"
243,Victoria,ODV,"https://www.google.com/maps/place/Victoria/@51.4956651,-0.1482363,17z/data=!4m6!3m5!1s0x48760520577fe01b:0xcff3ae1015ed37d!8m2!3d51.495665!4d-0.1437301!16s%2Fg%2F11v3yq3z5y?entry=ttu"
259,West Ruislip,C,"https://www.google.com/maps/place/West+Ruislip/@51.56984,-0.439094,17.75z/data=!4m6!3m5!1s0x48766c44dbd35391:0xa2bd6dd16638b98e!8m2!3d51.5696762!4d-0.4376991!16s%2Fg%2F1vxw7rz6?entry=ttu"
260,Westbourne Park,OH,"https://www.google.com/maps/place/Westbourne+Park/@51.520935,-0.2033398,17z/data=!4m6!3m5!1s0x4876101b4440cb7f:0x266e6421f8fdeecf!8m2!3d51.5209896!4d-0.2008292!16s%2Fg%2F12vryfqll?entry=ttu"
