station_id,station,lines,local_authority,fare_zone,opened_on,annual_usage,area_served,url
0,Acton Town,DP,Ealing,3,1 Jul 1879,4.93,Acton,https://www.google.com/maps?q=Acton+Town+Underground+station
1,Aldgate,OM,City of London,1,18 Nov 1876,6.9,Portsoken,https://www.google.com/maps?q=Aldgate+Underground+station
2,Aldgate East,DH,Tower Hamlets,1,6 Oct 1884,10.23,Whitechapel,https://www.google.com/maps?q=Aldgate+East+Underground+station
3,Alperton,P,Brent,4,28 Jun 1903,2.3,Alperton,https://www.google.com/maps?q=Alperton+Underground+station
4,Amersham,M,Buckinghamshire,9,1 Sep 1892,1.66,Amersham,https://www.google.com/maps?q=Amersham+Underground+station
5,Angel,N,Islington,1,17 Nov 1901,12.37,Angel,https://www.google.com/maps?q=Angel+Underground+station
6,Archway,N,Islington,23,22 Jun 1907,6.8,Archway,https://www.google.com/maps?q=Archway+Underground+station
7,Arnos Grove,P,Enfield,4,19 Sep 1932,3.3,Arnos Grove,https://www.google.com/maps?q=Arnos+Grove+Underground+station
8,Arsenal,P,Islington,2,15 Dec 1906,2.12,Highbury,https://www.google.com/maps?q=Arsenal+Underground+station
9,Baker Street,BOHJM,City of Westminster,1,10 Jan 1863,20.52,Marylebone,https://www.google.com/maps?q=Baker+Street+Underground+station
10,Balham,N,Wandsworth,3,6 Dec 1926,9.22,Balham,https://www.google.com/maps?q=Balham+Underground+station
11,Bank,CNW,City of London,1,8 Aug 1898,34.41,City of London,https://www.google.com/maps?q=Bank+Underground+station
12,Barbican,OHM,City of London,1,23 Dec 1865,5.36,Barbican,https://www.google.com/maps?q=Barbican+Underground+station
13,Barking,DH,Barking and Dagenham,4,2 Jun 1902,14.56,Barking,https://www.google.com/maps?q=Barking+Underground+station
14,Barkingside,C,Redbridge,4,31 May 1948,1.12,Barkingside,https://www.google.com/maps?q=Barkingside+Underground+station
15,Barons Court,DP,Hammersmith and Fulham,2,9 Oct 1905,5.11,West Kensington,https://www.google.com/maps?q=Barons+Court+Underground+station
16,Battersea Power Station,N,Wandsworth,1,20 Sep 2021[4],8.65,Battersea,https://www.google.com/maps?q=Battersea+Power+Station+Underground+station
17,Bayswater,OD,City of Westminster,1,1 Oct 1868,3.34,Bayswater,https://www.google.com/maps?q=Bayswater+Underground+station
18,Becontree,D,Barking and Dagenham,5,18 Jul 1932,2.67,Becontree,https://www.google.com/maps?q=Becontree+Underground+station
19,Belsize Park,N,Camden,2,22 Jun 1907,4.59,Belsize Park,https://www.google.com/maps?q=Belsize+Park+Underground+station
20,Bermondsey,J,Southwark,2,17 Sep 1999,6.68,Bermondsey,https://www.google.com/maps?q=Bermondsey+Underground+station
21,Bethnal Green,C,Tower Hamlets,2,4 Dec 1946,10.2,Bethnal Green,https://www.google.com/maps?q=Bethnal+Green+Underground+station
22,Blackfriars,OD,City of London,1,30 May 1870,9.41,Blackfriars,https://www.google.com/maps?q=Blackfriars+Underground+station
23,Blackhorse Road,V,Waltham Forest,3,1 Sep 1968,8.51,Walthamstow,https://www.google.com/maps?q=Blackhorse+Road+Underground+station
24,Bond Street,CJ,City of Westminster,1,24 Sep 1900,35.41,Mayfair,https://www.google.com/maps?q=Bond+Street+Underground+station
25,Borough,N,Southwark,1,18 Dec 1890,3.74,Southwark,https://www.google.com/maps?q=Borough+Underground+station
26,Boston Manor,P,EalingHounslow,4,1 May 1883,1.49,Hanwell,https://www.google.com/maps?q=Boston+Manor+Underground+station
27,Bounds Green,P,Haringey,34,19 Sep 1932,4.15,Bounds Green,https://www.google.com/maps?q=Bounds+Green+Underground+station
28,Bow Road,DH,Tower Hamlets,2,11 Jun 1902,3.83,Bow,https://www.google.com/maps?q=Bow+Road+Underground+station
29,Brent Cross,N,Barnet,3,19 Nov 1923,2.04,Brent Cross,https://www.google.com/maps?q=Brent+Cross+Underground+station
30,Brixton,V,Lambeth,2,23 Jul 1971,21.32,Brixton,https://www.google.com/maps?q=Brixton+Underground+station
31,Bromley-by-Bow,DH,Tower Hamlets,23,2 Jun 1902,3.43,Bromley-by-Bow,https://www.google.com/maps?q=Bromley-by-Bow+Underground+station
32,Buckhurst Hill,C,Epping Forest,5,21 Nov 1948,1.68,Buckhurst Hill,https://www.google.com/maps?q=Buckhurst+Hill+Underground+station
33,Burnt Oak,N,Barnet,4,27 Oct 1924,3.11,Burnt Oak,https://www.google.com/maps?q=Burnt+Oak+Underground+station
34,Caledonian Road,P,Islington,2,15 Dec 1906,4.18,Holloway,https://www.google.com/maps?q=Caledonian+Road+Underground+station
